"sideid","mapid","layer","country","cowcode","groupname","marker","year","dhs.round","dhs.subround","sample.size","fit.comb","tps.g.fit","tps.par.knn","tps.par.sphkm","tps.par.knncut","tps.par.unsurv","tps.fit","knn.g.fit","knn.par.knn","knn.par.sphkm","knn.par.weights","knn.par.unsurv","knn.par.knncut","knn.fit"
"side_v1_93_16",93,16,"Guinea",438,"peulh.muslim","ethnic.religion",2012,6,1,114,0.0823101749534334,0.150823038490072,295,90311,7,346,0.0900686292552615,0.163798217812928,172,123956,10089,1150,216,0.0841942025828342
"side_v1_93_17",93,17,"Guinea",438,"peulh.musualmane","ethnic.religion",2012,6,1,114,0.0823101749534334,0.403733699908974,295,90311,7,346,0.0900686292552615,0.370284630123408,172,123956,10089,1150,216,0.0841942025828342
"side_v1_93_18",93,18,"Guinea",438,"soussou.christian","ethnic.religion",2012,6,1,114,0.0823101749534334,1.05000213221761,295,90311,7,346,0.0900686292552615,1.00526676564611,172,123956,10089,1150,216,0.0841942025828342
"side_v1_93_19",93,19,"Guinea",438,"soussou.mixed","ethnic.religion",2012,6,1,114,0.0823101749534334,Inf,295,90311,7,346,0.0900686292552615,Inf,172,123956,10089,1150,216,0.0841942025828342
"side_v1_93_20",93,20,"Guinea",438,"soussou.muslim","ethnic.religion",2012,6,1,114,0.0823101749534334,0.209932346997205,295,90311,7,346,0.0900686292552615,0.222532146202508,172,123956,10089,1150,216,0.0841942025828342
"side_v1_93_21",93,21,"Guinea",438,"soussou.musualmane","ethnic.religion",2012,6,1,114,0.0823101749534334,0.324944169248707,295,90311,7,346,0.0900686292552615,0.347988164506017,172,123956,10089,1150,216,0.0841942025828342
"side_v1_93_22",93,22,"Guinea",438,"toma.mixed","ethnic.religion",2012,6,1,114,0.0823101749534334,0.619168831389465,295,90311,7,346,0.0900686292552615,0.349688743730526,172,123956,10089,1150,216,0.0841942025828342
"side_v1_145_1",145,1,"Malawi",553,"anglican","religion",2010,6,1,228,0.0977157413645714,0.605552157283148,244,118059,536,1225,0.101554131937184,0.612749834448314,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_2",145,2,"Malawi",553,"catholic","religion",2010,6,1,228,0.0977157413645714,0.817421731601504,244,118059,536,1225,0.101554131937184,0.7547837976971,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_3",145,3,"Malawi",553,"ccap","religion",2010,6,1,228,0.0977157413645714,0.772432614993306,244,118059,536,1225,0.101554131937184,0.690546633870209,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_4",145,4,"Malawi",553,"muslim","religion",2010,6,1,228,0.0977157413645714,0.342505559266476,244,118059,536,1225,0.101554131937184,0.377888998589163,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_5",145,5,"Malawi",553,"no religion","religion",2010,6,1,228,0.0977157413645714,0.917430914459172,244,118059,536,1225,0.101554131937184,0.955024009496423,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_6",145,6,"Malawi",553,"other","religion",2010,6,1,228,0.0977157413645714,0.993773005502432,244,118059,536,1225,0.101554131937184,0.981575865622826,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_7",145,7,"Malawi",553,"other christian","religion",2010,6,1,228,0.0977157413645714,0.568539810754728,244,118059,536,1225,0.101554131937184,0.536633634715002,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_8",145,8,"Malawi",553,"seventh day advent/baptist","religion",2010,6,1,228,0.0977157413645714,0.965189474750004,244,118059,536,1225,0.101554131937184,1.00241856333726,33,22393,12095,1862,660,0.0973932761984776
"side_v1_145_9",145,9,"Malawi",553,"seventh day advent/ baptist","religion",2010,6,1,228,0.0977157413645714,0.844951768335273,244,118059,536,1225,0.101554131937184,0.812632957798759,33,22393,12095,1862,660,0.0973932761984776
"side_v1_40_1",40,1,"Cameroon",471,"african.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.03846600537123,218,346102,10,269,0.21916317490328,1.021419550121,14,34377,7954,84,382,0.211740230370553
"side_v1_40_2",40,2,"Cameroon",471,"arabe choa.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.03042570819498,218,346102,10,269,0.21916317490328,1.04004339730597,14,34377,7954,84,382,0.211740230370553
"side_v1_40_3",40,3,"Cameroon",471,"arabe choa.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.570869715710571,218,346102,10,269,0.21916317490328,0.593020867542588,14,34377,7954,84,382,0.211740230370553
"side_v1_40_4",40,4,"Cameroon",471,"bafia.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.969420038180533,218,346102,10,269,0.21916317490328,0.885663442091568,14,34377,7954,84,382,0.211740230370553
"side_v1_40_5",40,5,"Cameroon",471,"bamilike-central.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.499309370856801,218,346102,10,269,0.21916317490328,0.464969119899626,14,34377,7954,84,382,0.211740230370553
"side_v1_40_6",40,6,"Cameroon",471,"bamilike-central.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.518466859224024,218,346102,10,269,0.21916317490328,0.500406337530972,14,34377,7954,84,382,0.211740230370553
"side_v1_40_7",40,7,"Cameroon",471,"bamilike-central.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,1.01180872587357,218,346102,10,269,0.21916317490328,1.03317122108078,14,34377,7954,84,382,0.211740230370553
"side_v1_40_8",40,8,"Cameroon",471,"bamilike-central.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.61530823168759,218,346102,10,269,0.21916317490328,0.596133000719208,14,34377,7954,84,382,0.211740230370553
"side_v1_40_9",40,9,"Cameroon",471,"bamoun.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.918447789461336,218,346102,10,269,0.21916317490328,0.901103470431741,14,34377,7954,84,382,0.211740230370553
"side_v1_40_10",40,10,"Cameroon",471,"bamoun.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.25024512321788,218,346102,10,269,0.21916317490328,0.333016281768757,14,34377,7954,84,382,0.211740230370553
"side_v1_40_11",40,11,"Cameroon",471,"banyang.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.764435868274898,218,346102,10,269,0.21916317490328,0.711878963415411,14,34377,7954,84,382,0.211740230370553
"side_v1_40_12",40,12,"Cameroon",471,"bassa-bakoko.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.635041390354988,218,346102,10,269,0.21916317490328,0.728635393954464,14,34377,7954,84,382,0.211740230370553
"side_v1_40_13",40,13,"Cameroon",471,"bassa-bakoko.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.914447504070858,218,346102,10,269,0.21916317490328,0.834296073303918,14,34377,7954,84,382,0.211740230370553
"side_v1_40_14",40,14,"Cameroon",471,"bassa-bakoko.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,Inf,218,346102,10,269,0.21916317490328,Inf,14,34377,7954,84,382,0.211740230370553
"side_v1_40_15",40,15,"Cameroon",471,"bassa-bakoko.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.462418407487678,218,346102,10,269,0.21916317490328,0.445494394193268,14,34377,7954,84,382,0.211740230370553
"side_v1_40_16",40,16,"Cameroon",471,"beti.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.580351570717089,218,346102,10,269,0.21916317490328,0.524997464037702,14,34377,7954,84,382,0.211740230370553
"side_v1_40_17",40,17,"Cameroon",471,"beti.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.893962154779603,218,346102,10,269,0.21916317490328,0.947064572506899,14,34377,7954,84,382,0.211740230370553
"side_v1_40_18",40,18,"Cameroon",471,"beti.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.994505352398795,218,346102,10,269,0.21916317490328,1.2000880283229,14,34377,7954,84,382,0.211740230370553
"side_v1_40_19",40,19,"Cameroon",471,"beti.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.576671381254625,218,346102,10,269,0.21916317490328,0.548590160496675,14,34377,7954,84,382,0.211740230370553
"side_v1_40_20",40,20,"Cameroon",471,"boulou-fang.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.502321775184169,218,346102,10,269,0.21916317490328,0.415146095122877,14,34377,7954,84,382,0.211740230370553
"side_v1_40_21",40,21,"Cameroon",471,"boulou-fang.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.02379828671609,218,346102,10,269,0.21916317490328,0.867399213173104,14,34377,7954,84,382,0.211740230370553
"side_v1_40_22",40,22,"Cameroon",471,"boulou-fang.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,1.00444204752293,218,346102,10,269,0.21916317490328,1.01659814345328,14,34377,7954,84,382,0.211740230370553
"side_v1_40_23",40,23,"Cameroon",471,"boulou-fang.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.318766972241069,218,346102,10,269,0.21916317490328,0.269420476642782,14,34377,7954,84,382,0.211740230370553
"side_v1_40_24",40,24,"Cameroon",471,"cotier.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.990876510273474,218,346102,10,269,0.21916317490328,0.992517159396592,14,34377,7954,84,382,0.211740230370553
"side_v1_40_25",40,25,"Cameroon",471,"cotier.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.936667308869422,218,346102,10,269,0.21916317490328,0.982503535219532,14,34377,7954,84,382,0.211740230370553
"side_v1_40_26",40,26,"Cameroon",471,"daba.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.943129956000138,218,346102,10,269,0.21916317490328,0.862559248275712,14,34377,7954,84,382,0.211740230370553
"side_v1_40_27",40,27,"Cameroon",471,"fali.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.742927893431476,218,346102,10,269,0.21916317490328,5.59704113038354,14,34377,7954,84,382,0.211740230370553
"side_v1_40_28",40,28,"Cameroon",471,"fali.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.558821983052108,218,346102,10,269,0.21916317490328,0.976871548902041,14,34377,7954,84,382,0.211740230370553
"side_v1_40_29",40,29,"Cameroon",471,"foreigner.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.76093820964926,218,346102,10,269,0.21916317490328,0.914030219345034,14,34377,7954,84,382,0.211740230370553
"side_v1_40_30",40,30,"Cameroon",471,"gbaya.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.481192282342837,218,346102,10,269,0.21916317490328,0.54208464221075,14,34377,7954,84,382,0.211740230370553
"side_v1_40_31",40,31,"Cameroon",471,"gbaya.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,1.27546697629932,218,346102,10,269,0.21916317490328,0.406276291887686,14,34377,7954,84,382,0.211740230370553
"side_v1_40_32",40,32,"Cameroon",471,"guidar.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.17262850918121,218,346102,10,269,0.21916317490328,0.991082238898299,14,34377,7954,84,382,0.211740230370553
"side_v1_40_33",40,33,"Cameroon",471,"haoussa.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.00306326354228,218,346102,10,269,0.21916317490328,1.05717329008942,14,34377,7954,84,382,0.211740230370553
"side_v1_40_34",40,34,"Cameroon",471,"haoussa.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.994591686172641,218,346102,10,269,0.21916317490328,2.17140648028295,14,34377,7954,84,382,0.211740230370553
"side_v1_40_35",40,35,"Cameroon",471,"kako.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.77098995284063,218,346102,10,269,0.21916317490328,1.84239692332858,14,34377,7954,84,382,0.211740230370553
"side_v1_40_36",40,36,"Cameroon",471,"kako.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.914905750775084,218,346102,10,269,0.21916317490328,0.87535072272655,14,34377,7954,84,382,0.211740230370553
"side_v1_40_37",40,37,"Cameroon",471,"kanuri.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.02465072624732,218,346102,10,269,0.21916317490328,1.11687345954924,14,34377,7954,84,382,0.211740230370553
"side_v1_40_38",40,38,"Cameroon",471,"kanuri.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.55198555452684,218,346102,10,269,0.21916317490328,0.750268867744474,14,34377,7954,84,382,0.211740230370553
"side_v1_40_39",40,39,"Cameroon",471,"kotoko.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.83748453550452,218,346102,10,269,0.21916317490328,3.41802541648739,14,34377,7954,84,382,0.211740230370553
"side_v1_40_40",40,40,"Cameroon",471,"kotoko.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,1.04726208913862,218,346102,10,269,0.21916317490328,1.00867953666141,14,34377,7954,84,382,0.211740230370553
"side_v1_40_41",40,41,"Cameroon",471,"mafa.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.397440711194933,218,346102,10,269,0.21916317490328,0.467784179949301,14,34377,7954,84,382,0.211740230370553
"side_v1_40_42",40,42,"Cameroon",471,"mambila.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.546568428848311,218,346102,10,269,0.21916317490328,0.593757279202233,14,34377,7954,84,382,0.211740230370553
"side_v1_40_43",40,43,"Cameroon",471,"massa.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.913592357980479,218,346102,10,269,0.21916317490328,0.938805658732608,14,34377,7954,84,382,0.211740230370553
"side_v1_40_44",40,44,"Cameroon",471,"mbembe.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.01881219159247,218,346102,10,269,0.21916317490328,1.17630860885191,14,34377,7954,84,382,0.211740230370553
"side_v1_40_45",40,45,"Cameroon",471,"mbembe.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,1.05578316355958,218,346102,10,269,0.21916317490328,0.920523779771383,14,34377,7954,84,382,0.211740230370553
"side_v1_40_46",40,46,"Cameroon",471,"mboum.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.591510722142023,218,346102,10,269,0.21916317490328,0.606134355137394,14,34377,7954,84,382,0.211740230370553
"side_v1_40_47",40,47,"Cameroon",471,"mboum.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.168810282434481,218,346102,10,269,0.21916317490328,0.261315371516556,14,34377,7954,84,382,0.211740230370553
"side_v1_40_48",40,48,"Cameroon",471,"mboum.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.954855839728655,218,346102,10,269,0.21916317490328,1.02015924699097,14,34377,7954,84,382,0.211740230370553
"side_v1_40_49",40,49,"Cameroon",471,"mboum.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.879455835393138,218,346102,10,269,0.21916317490328,0.762827940996976,14,34377,7954,84,382,0.211740230370553
"side_v1_40_50",40,50,"Cameroon",471,"meka.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.634108148753821,218,346102,10,269,0.21916317490328,0.687641587443376,14,34377,7954,84,382,0.211740230370553
"side_v1_40_51",40,51,"Cameroon",471,"meka.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.702326552575505,218,346102,10,269,0.21916317490328,1.01706567233534,14,34377,7954,84,382,0.211740230370553
"side_v1_40_52",40,52,"Cameroon",471,"momo.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.924380597003242,218,346102,10,269,0.21916317490328,0.858204386667259,14,34377,7954,84,382,0.211740230370553
"side_v1_40_53",40,53,"Cameroon",471,"momo.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.469739840876742,218,346102,10,269,0.21916317490328,0.608245135371927,14,34377,7954,84,382,0.211740230370553
"side_v1_40_54",40,54,"Cameroon",471,"ngemba.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.01695275469545,218,346102,10,269,0.21916317490328,0.952647692559174,14,34377,7954,84,382,0.211740230370553
"side_v1_40_55",40,55,"Cameroon",471,"ngemba.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,1.30322503873643,218,346102,10,269,0.21916317490328,0.925353306235849,14,34377,7954,84,382,0.211740230370553
"side_v1_40_56",40,56,"Cameroon",471,"ngoe-oroko.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.83047471889917,218,346102,10,269,0.21916317490328,0.655211358312305,14,34377,7954,84,382,0.211740230370553
"side_v1_40_57",40,57,"Cameroon",471,"ngoe-oroko.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.604797512639696,218,346102,10,269,0.21916317490328,0.62913889259909,14,34377,7954,84,382,0.211740230370553
"side_v1_40_58",40,58,"Cameroon",471,"other.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,1.00318616946314,218,346102,10,269,0.21916317490328,1.11613237385023,14,34377,7954,84,382,0.211740230370553
"side_v1_40_59",40,59,"Cameroon",471,"other.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.02839803739376,218,346102,10,269,0.21916317490328,1.0447902429546,14,34377,7954,84,382,0.211740230370553
"side_v1_40_60",40,60,"Cameroon",471,"other.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.652448205105748,218,346102,10,269,0.21916317490328,0.630955938353696,14,34377,7954,84,382,0.211740230370553
"side_v1_40_61",40,61,"Cameroon",471,"other.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,1.12581939420089,218,346102,10,269,0.21916317490328,0.987920563373382,14,34377,7954,84,382,0.211740230370553
"side_v1_40_62",40,62,"Cameroon",471,"peulh.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,1.0077690797339,218,346102,10,269,0.21916317490328,1.09561333746974,14,34377,7954,84,382,0.211740230370553
"side_v1_40_63",40,63,"Cameroon",471,"peulh.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.1031304350935,218,346102,10,269,0.21916317490328,1.09148268049067,14,34377,7954,84,382,0.211740230370553
"side_v1_40_64",40,64,"Cameroon",471,"peulh.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.867843938292366,218,346102,10,269,0.21916317490328,0.730517483556086,14,34377,7954,84,382,0.211740230370553
"side_v1_40_65",40,65,"Cameroon",471,"peulh.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,Inf,218,346102,10,269,0.21916317490328,Inf,14,34377,7954,84,382,0.211740230370553
"side_v1_40_66",40,66,"Cameroon",471,"ring.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,1.18718188810572,218,346102,10,269,0.21916317490328,1.45940838674847,14,34377,7954,84,382,0.211740230370553
"side_v1_40_67",40,67,"Cameroon",471,"ring.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.900180996810949,218,346102,10,269,0.21916317490328,1.02858064092168,14,34377,7954,84,382,0.211740230370553
"side_v1_40_68",40,68,"Cameroon",471,"sara.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,8.11730685019486,218,346102,10,269,0.21916317490328,3.68727980587312,14,34377,7954,84,382,0.211740230370553
"side_v1_40_69",40,69,"Cameroon",471,"tiv.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.550640440673696,218,346102,10,269,0.21916317490328,0.748826569738758,14,34377,7954,84,382,0.211740230370553
"side_v1_40_70",40,70,"Cameroon",471,"wandala/mandara.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,1.10434102032485,218,346102,10,269,0.21916317490328,1.00432578776286,14,34377,7954,84,382,0.211740230370553
"side_v1_40_71",40,71,"Cameroon",471,"wandala/mandara.muslim","ethnic.religion",2004,4,1,228,0.204821463739375,0.832413019902727,218,346102,10,269,0.21916317490328,0.692825309819547,14,34377,7954,84,382,0.211740230370553
"side_v1_40_72",40,72,"Cameroon",471,"wimbum-yamba.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.876520437385053,218,346102,10,269,0.21916317490328,1.14838914829507,14,34377,7954,84,382,0.211740230370553
"side_v1_40_73",40,73,"Cameroon",471,"wimbum-yamba.prostestant","ethnic.religion",2004,4,1,228,0.204821463739375,0.607753756099104,218,346102,10,269,0.21916317490328,0.613171274082932,14,34377,7954,84,382,0.211740230370553
"side_v1_40_74",40,74,"Cameroon",471,"yambassa.catholic","ethnic.religion",2004,4,1,228,0.204821463739375,0.943831773397912,218,346102,10,269,0.21916317490328,0.788002441372866,14,34377,7954,84,382,0.211740230370553
"side_v1_40_75",40,75,"Cameroon",471,"yambassa.mixed","ethnic.religion",2004,4,1,228,0.204821463739375,0.987125312033601,218,346102,10,269,0.21916317490328,0.872193715696405,14,34377,7954,84,382,0.211740230370553
"side_v1_42_1",42,1,"Cameroon",471,"animist","religion",2011,6,1,228,0.129169522248427,0.666970115802355,233,1092348,284,1152,0.128196844591621,0.610321321863238,21,50899,5410,1629,246,0.137382705108136
"side_v1_42_2",42,2,"Cameroon",471,"catholic","religion",2011,6,1,228,0.129169522248427,0.540038417216008,233,1092348,284,1152,0.128196844591621,0.586286838664118,21,50899,5410,1629,246,0.137382705108136
"side_v1_42_3",42,3,"Cameroon",471,"moslem","religion",2011,6,1,228,0.129169522248427,0.396840607309313,233,1092348,284,1152,0.128196844591621,0.437491373683649,21,50899,5410,1629,246,0.137382705108136
"side_v1_42_4",42,4,"Cameroon",471,"none","religion",2011,6,1,228,0.129169522248427,0.640019124753694,233,1092348,284,1152,0.128196844591621,0.627191590735049,21,50899,5410,1629,246,0.137382705108136
"side_v1_42_5",42,5,"Cameroon",471,"other","religion",2011,6,1,228,0.129169522248427,0.940051326200347,233,1092348,284,1152,0.128196844591621,0.924026923554717,21,50899,5410,1629,246,0.137382705108136
"side_v1_42_6",42,6,"Cameroon",471,"other christian","religion",2011,6,1,228,0.129169522248427,0.561243744432633,233,1092348,284,1152,0.128196844591621,0.647339449031901,21,50899,5410,1629,246,0.137382705108136
"side_v1_42_7",42,7,"Cameroon",471,"protestant","religion",2011,6,1,228,0.129169522248427,0.666259101640025,233,1092348,284,1152,0.128196844591621,0.696242777547138,21,50899,5410,1629,246,0.137382705108136
"side_v1_43_1",43,1,"Cameroon",471,"adamaoua-oubangui.catholic","ethnic.religion",2011,6,1,228,0.171993665287634,0.54071461396433,237,247099,4,416,0.179249023637282,0.627803722145894,89,65423,12369,349,422,0.17773662316656
"side_v1_43_2",43,2,"Cameroon",471,"adamaoua-oubangui.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.275155967730951,237,247099,4,416,0.179249023637282,0.316835996677955,89,65423,12369,349,422,0.17773662316656
"side_v1_43_3",43,3,"Cameroon",471,"adamaoua-oubangui.moslem","ethnic.religion",2011,6,1,228,0.171993665287634,0.592347133529305,237,247099,4,416,0.179249023637282,0.667023330728794,89,65423,12369,349,422,0.17773662316656
"side_v1_43_4",43,4,"Cameroon",471,"adamaoua-oubangui.protestant","ethnic.religion",2011,6,1,228,0.171993665287634,0.436184069426931,237,247099,4,416,0.179249023637282,0.488029966741222,89,65423,12369,349,422,0.17773662316656
"side_v1_43_5",43,5,"Cameroon",471,"arab-choa/peulh/haoussa/kanuri.catholic","ethnic.religion",2011,6,1,228,0.171993665287634,1.03281606838963,237,247099,4,416,0.179249023637282,1.02339803428776,89,65423,12369,349,422,0.17773662316656
"side_v1_43_6",43,6,"Cameroon",471,"arab-choa/peulh/haoussa/kanuri.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,1.06575252837623,237,247099,4,416,0.179249023637282,1.16616537514297,89,65423,12369,349,422,0.17773662316656
"side_v1_43_7",43,7,"Cameroon",471,"arab-choa/peulh/haoussa/kanuri.moslem","ethnic.religion",2011,6,1,228,0.171993665287634,0.546541111622406,237,247099,4,416,0.179249023637282,0.425440182122612,89,65423,12369,349,422,0.17773662316656
"side_v1_43_8",43,8,"Cameroon",471,"arab-choa/peulh/haoussa/kanuri.protestant","ethnic.religion",2011,6,1,228,0.171993665287634,1.02697124875786,237,247099,4,416,0.179249023637282,1.08485335086348,89,65423,12369,349,422,0.17773662316656
"side_v1_43_9",43,9,"Cameroon",471,"bamilike/bamoun.catholic","ethnic.religion",2011,6,1,228,0.171993665287634,0.475912489117449,237,247099,4,416,0.179249023637282,0.50432857182042,89,65423,12369,349,422,0.17773662316656
"side_v1_43_10",43,10,"Cameroon",471,"bamilike/bamoun.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.510704555437511,237,247099,4,416,0.179249023637282,0.517932976538654,89,65423,12369,349,422,0.17773662316656
"side_v1_43_11",43,11,"Cameroon",471,"bamilike/bamoun.moslem","ethnic.religion",2011,6,1,228,0.171993665287634,0.494079914122232,237,247099,4,416,0.179249023637282,0.450625927241583,89,65423,12369,349,422,0.17773662316656
"side_v1_43_12",43,12,"Cameroon",471,"bamilike/bamoun.protestant","ethnic.religion",2011,6,1,228,0.171993665287634,0.58411554071451,237,247099,4,416,0.179249023637282,0.57121581737019,89,65423,12369,349,422,0.17773662316656
"side_v1_43_13",43,13,"Cameroon",471,"bantoïde south-west.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.67553281577789,237,247099,4,416,0.179249023637282,0.667844796198673,89,65423,12369,349,422,0.17773662316656
"side_v1_43_14",43,14,"Cameroon",471,"beti/bassa/mbam.catholic","ethnic.religion",2011,6,1,228,0.171993665287634,0.269249565208031,237,247099,4,416,0.179249023637282,0.296092054068611,89,65423,12369,349,422,0.17773662316656
"side_v1_43_15",43,15,"Cameroon",471,"beti/bassa/mbam.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.853361108577773,237,247099,4,416,0.179249023637282,0.82216528841482,89,65423,12369,349,422,0.17773662316656
"side_v1_43_16",43,16,"Cameroon",471,"beti/bassa/mbam.moslem","ethnic.religion",2011,6,1,228,0.171993665287634,1.05119254212868,237,247099,4,416,0.179249023637282,1.07989304556992,89,65423,12369,349,422,0.17773662316656
"side_v1_43_17",43,17,"Cameroon",471,"beti/bassa/mbam.protestant","ethnic.religion",2011,6,1,228,0.171993665287634,0.51647210497567,237,247099,4,416,0.179249023637282,0.479737750115193,89,65423,12369,349,422,0.17773662316656
"side_v1_43_18",43,18,"Cameroon",471,"biu-mandara.catholic","ethnic.religion",2011,6,1,228,0.171993665287634,0.635707044565408,237,247099,4,416,0.179249023637282,0.620842385768248,89,65423,12369,349,422,0.17773662316656
"side_v1_43_19",43,19,"Cameroon",471,"biu-mandara.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.691165018327909,237,247099,4,416,0.179249023637282,0.731986068229354,89,65423,12369,349,422,0.17773662316656
"side_v1_43_20",43,20,"Cameroon",471,"biu-mandara.moslem","ethnic.religion",2011,6,1,228,0.171993665287634,0.589270175654738,237,247099,4,416,0.179249023637282,0.520058672240679,89,65423,12369,349,422,0.17773662316656
"side_v1_43_21",43,21,"Cameroon",471,"biu-mandara.protestant","ethnic.religion",2011,6,1,228,0.171993665287634,0.75536498630017,237,247099,4,416,0.179249023637282,0.888654776181159,89,65423,12369,349,422,0.17773662316656
"side_v1_43_22",43,22,"Cameroon",471,"côtier/ngoe/oroko.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.680106295671906,237,247099,4,416,0.179249023637282,0.70431858276147,89,65423,12369,349,422,0.17773662316656
"side_v1_43_23",43,23,"Cameroon",471,"grassfields.catholic","ethnic.religion",2011,6,1,228,0.171993665287634,0.529188937350784,237,247099,4,416,0.179249023637282,0.580851297783535,89,65423,12369,349,422,0.17773662316656
"side_v1_43_24",43,24,"Cameroon",471,"grassfields.mixed","ethnic.religion",2011,6,1,228,0.171993665287634,0.787678236079748,237,247099,4,416,0.179249023637282,0.734302124025647,89,65423,12369,349,422,0.17773662316656
"side_v1_43_25",43,25,"Cameroon",471,"grassfields.moslem","ethnic.religion",2011,6,1,228,0.171993665287634,0.954700625002006,237,247099,4,416,0.179249023637282,0.894110808119803,89,65423,12369,349,422,0.17773662316656
"side_v1_43_26",43,26,"Cameroon",471,"grassfields.protestant","ethnic.religion",2011,6,1,228,0.171993665287634,0.370480231376738,237,247099,4,416,0.179249023637282,0.355499413887614,89,65423,12369,349,422,0.17773662316656
